ui_icon_modeselect_logo_cod,staticlogo,,445.3333333333333,72.0,
ui_icon_modeselect_logo_bo6,staticlogo,0 96,445.3333333333333,37.666666666666664,
WAIT,wait,,,,
Developed By,staticbigtext,0 -80,,,
image_treyarch_2023,staticlogo,-160 0,320.0,80.0,
image_raven_2023,staticlogo,160 0,320.0,80.0,
image_hms_2023,staticlogo,-200 80,160.0,40.0,
image_beenox_2024,staticlogo,0 80,160.0,40.0,
image_shanghai_2023,staticlogo,240 80,160.0,40.0,
image_shg_2023,staticlogo,-220 133.3333,120.0,30.0,
image_iw_2023,staticlogo,-80 133.3333,120.0,30.0,
image_central_tech_2023,staticlogo,80 133.3333,120.0,30.0,
image_demonware_2024,staticlogo,260 133.3333,120.0,30.0,
WAIT,wait,,,,
image_treyarch_2023,logo,,320.0,80.0,
BLANK,blank,,,,
BLANK,blank,,,,
BLANK,blank,,,,
CREDITS/DEPT_ANIMATION,dept,,,,
Kyle Aparece,string,,,,
Noe Arciniega,string,,,,
Sayer Brawley,string,,,,
,string,,,,
Cassandra Dart,string,,,,
Benjamin-Lee Deguzman,string,,,,
Anthony DiCenzo,string,,,,
Jason Hall,string,,,,
Tyler Hamill,string,,,,
Ally Henlein,string,,,,
Kevin Kraeer,string,,,,
Miles Lasser,string,,,,
Yanick Lebel,string,,,,
Joanna Lee,string,,,,
Nate Lee,string,,,,
Phillip Lozano,string,,,,
Joe Miranda,string,,,,
Ali Pournassari,string,,,,
Dan Ramos,string,,,,
Boh Roper,string,,,,
Manash Sharma,string,,,,
Mikal Vega,string,,,,
Aniket Manohar Waghmare,string,,,,
CREDITS/DEPT_ANIMATION_ADDITIONAL_SUPPORT,dept,,,,
Cory Aldridge,string,,,,
Troy Cucchi,string,,,,
Dom Drozdz,string,,,,
Morgan Earl,string,,,,
Gary Fixler,string,,,,
Shawn Janik,string,,,,
Thomas Lie,string,,,,
JT Tirado,string,,,,
Marc Yates,string,,,,
CREDITS/DEPT_ART,dept,,,,
Azaria Abebe,string,,,,
Murad Ainuddin,string,,,,
Loudvik Akopyan,string,,,,
Bruce Bailey,string,,,,
Michael Barnes,string,,,,
Angus Bencke,string,,,,
Gary Bergeron,string,,,,
Sergio Betancourt,string,,,,
Chad Birosh,string,,,,
Jason Borda,string,,,,
Dave Bullat II,string,,,,
Jennifer Chamorro Ocampos,string,,,,
Wilson Ho-Yin Chan,string,,,,
Yaw Chang,string,,,,
Pawin Changkiendee,string,,,,
Nick Chmil,string,,,,
Mike Chubb,string,,,,
Paul Contreras,string,,,,
Wren Cromwell,string,,,,
Mike Curran,string,,,,
Gerry De Natris,string,,,,
Leandra Dorta,string,,,,
Mayan Escalante,string,,,,
Joaquin Espinoza,string,,,,
Austin Farris,string,,,,
Anders Fray,string,,,,
Gavin Goslin,string,,,,
Bruce Hall,string,,,,
Sunni Han,string,,,,
Jim Hawkins,string,,,,
Ethan Hiley,string,,,,
YuehChing Hong,string,,,,
Will Huang,string,,,,
Blaed Hutchinson,string,,,,
Jaret Illingworth,string,,,,
Sally Im,string,,,,
Karthik Jagannatha,string,,,,
Daniel Johnson,string,,,,
Euihoon Jung,string,,,,
David Kelvin,string,,,,
Roman Kopiiko,string,,,,
Lindsey Kurkiewicz,string,,,,
Peter Lam,string,,,,
Christopher Ledesma,string,,,,
Jake Jaewon Lee,string,,,,
Gavin Lerner,string,,,,
Jason Louie,string,,,,
Vina Mahoney,string,,,,
Mark Manto,string,,,,
Ethan Marcopoulos,string,,,,
Austin Martin,string,,,,
Kyle Martin,string,,,,
Gilbert Martinez,string,,,,
Paul Mason-Firth,string,,,,
John McGinley,string,,,,
Michael McMahan,string,,,,
Manny Mederos,string,,,,
Anna Miakisheva,string,,,,
Viktor Mierkulov,string,,,,
Robert Moffat,string,,,,
Ted Morente Jr,string,,,,
Andrew Mournian,string,,,,
Fitra Nagara,string,,,,
Bryan Naron,string,,,,
Albert Ng,string,,,,
Geoffrey Ng,string,,,,
Anh Nguyen,string,,,,
Evan Nielsen,string,,,,
Mike Pankratz,string,,,,
Tanay Parab,string,,,,
Olivier Pflaum,string,,,,
Khang Pham,string,,,,
Nelson Plumey,string,,,,
Danila Pogalov,string,,,,
Maxwell Porter,string,,,,
Lawrence Paul Preston III,string,,,,
Gui Rambelli,string,,,,
Matthew Rodriguez,string,,,,
Kevin Ruiz,string,,,,
Mike Salegui,string,,,,
Simon Jackson Samson,string,,,,
Rene Saquic,string,,,,
Sarah Schmidt,string,,,,
Thomas Schneider,string,,,,
Peter Schwaegerle,string,,,,
Huining Shi,string,,,,
Brian Shimamoto,string,,,,
Ruchirek Yui Somrit,string,,,,
Adam Stiles,string,,,,
Mayu Suzuki,string,,,,
Kelvin Tan,string,,,,
Haydon Tarvin,string,,,,
Sean Troehler,string,,,,
Caleb Turner,string,,,,
Joseph Vance,string,,,,
Tim Varatip,string,,,,
Lucas Vice,string,,,,
Fidel Villa,string,,,,
Ryan Vinson,string,,,,
Clay Walters,string,,,,
Sarah Waronoff,string,,,,
Scott Wells,string,,,,
Barry Whitney,string,,,,
Colin Whitney,string,,,,
Aden Winkelman,string,,,,
Kevin Worrel,string,,,,
David Yan,string,,,,
Steve Inaba Young,string,,,,
Mohammad Ali Zahid,string,,,,
,string,,,,
Peter Zoppi,string,,,,
CREDITS/DEPT_ART_ADDITIONAL_SUPPORT,dept,,,,
Jeffrey Arnold,string,,,,
Shaun Bell,string,,,,
Jordon Britz,string,,,,
Yonghee Choi,string,,,,
Jess Feidt,string,,,,
Derek Lonngren,string,,,,
Rob Mastriano,string,,,,
Ronaldo Mei,string,,,,
