akimbo_golf17,iw9_pi_golf18,akimbo_golf18,0
ammo_12g_db,iw9_sh_charlie725,ammo_12g_db_charlie725,0
ammo_12g_db,iw9_sh_charlie725,ammo_12g_db_charlie725_heavytrig,1
ammo_12g_db,iw9_sh_mbravo,ammo_12g_db_mbravo,0
ammo_12g_db,iw9_sh_mike1014,ammo_12g_db_mike1014,0
ammo_12g_db,iw9_sh_mviktor,ammo_12g_db_mviktor,0
ammo_12g_db,iw9_sh_tsierra12,ammo_12g_db_tsierra12,0
ammo_12g_db,iw9_sh_tsierra12,ammo_12g_db_tsierra12_burst,1
ammo_12g_db,iw9_sh_tsierra12,ammo_12g_db_tsierra12_semi,2
ammo_12g_db,iw9_sh_vecho,ammo_12g_db_vecho,0
ammo_12g_db,jup_jp09_sh_oromeo12,ammo_12g_db_oromeo12,0
ammo_12g_he,iw9_sh_charlie725,ammo_12g_he_charlie725,0
ammo_12g_he,iw9_sh_mbravo,ammo_12g_he_mbravo,0
ammo_12g_he,iw9_sh_mike1014,ammo_12g_he_mike1014,0
ammo_12g_he,iw9_sh_mviktor,ammo_12g_he_mviktor,0
ammo_12g_he,iw9_sh_tsierra12,ammo_12g_he_tsierra12,0
ammo_12g_he,iw9_sh_tsierra12,ammo_12g_he_tsierra12_burst,1
ammo_12g_he,iw9_sh_tsierra12,ammo_12g_he_tsierra12_semi,2
ammo_12g_he,iw9_sh_vecho,ammo_12g_he_vecho,0
ammo_12g_he,jup_jp09_sh_oromeo12,jup_oromeo12_ammo_12g_he,0
ammo_12g_he,jup_jp16_sh_recho870,jup_recho870_ammo_12g_he,0
ammo_12g_he,jup_jp38_sh_spapa12,jup_spapa12_ammo_12g_he,0
ammo_12g_sl,iw9_sh_charlie725,ammo_12g_sl_charlie725,0
ammo_12g_sl,iw9_sh_charlie725,ammo_12g_sl_charlie725_heavytrig,1
ammo_12g_sl,iw9_sh_mbravo,ammo_12g_sl_mbravo,0
ammo_12g_sl,iw9_sh_mike1014,ammo_12g_sl_mike1014,0
ammo_12g_sl,iw9_sh_mviktor,ammo_12g_sl_mviktor,0
ammo_12g_sl,iw9_sh_tsierra12,ammo_12g_sl_tsierra12,0
ammo_12g_sl,iw9_sh_tsierra12,ammo_12g_sl_tsierra12_burst,1
ammo_12g_sl,iw9_sh_tsierra12,ammo_12g_sl_tsierra12_semi,2
ammo_12g_sl,iw9_sh_vecho,ammo_12g_sl_vecho,0
ammo_12g_sl,jup_jp09_sh_oromeo12,jup_oromeo12_ammo_12g_sl,0
ammo_12g_sl,jup_jp16_sh_recho870,jup_recho870_ammo_12g_sl,0
ammo_12g_sl,jup_jp38_sh_spapa12,jup_spapa12_ammo_12g_sl,0
ammo_556n,iw9_ar_acharlie300,ammo_556n_p43,0
ammo_556n_ap,iw9_ar_acharlie300,ammo_556n_ap_p43,0
ammo_556n_db,iw9_ar_acharlie300,ammo_556n_db_p43,0
ammo_556n_fr,iw9_ar_acharlie300,ammo_556n_fr_p43,0
ammo_556n_hp,iw9_ar_acharlie300,ammo_556n_hp_p43,0
ammo_556n_hv,iw9_ar_acharlie300,ammo_556n_hv_p43,0
ammo_556n_op,iw9_ar_acharlie300,ammo_556n_op_p43,0
ammo_blk,iw9_ar_acharlie300,ammo_blk_p43,0
ammo_blk_ap,iw9_ar_acharlie300,ammo_blk_ap_p43,0
ammo_blk_fr,iw9_ar_acharlie300,ammo_blk_fr_p43,0
ammo_blk_tuning_p43,iw9_ar_acharlie300,ammo_blk_tuning_sil_p43,0
ammo_blk_tuning_p43,jup_jp44_ar_stango44,ammo_blk_tuning_sil_p43,0
arscope_therm01,iw9_ar_mike16,arscope_therm01_p01,0
arscope_therm01,iw9_ar_mike4,arscope_therm01_p01,0
arscope_therm01,iw9_br_msecho,arscope_therm01_p01,0
arscope_therm01,jup_jp40_br_hcharlie36,arscope_therm01_p01,0
bar_ar_heavy_p01,iw9_ar_mike16,bar_ar_heavy_p01_mike16,0
bar_ar_heavy_p01,iw9_ar_mike4,bar_ar_heavy_p01_mike4,0
bar_ar_heavy_p03,iw9_ar_augolf,bar_ar_heavy_p03_augolf,0
bar_ar_heavy_p03,iw9_lm_ahotel,bar_ar_heavy_p03_ahotel,0
bar_ar_heavy_p04,iw9_ar_akilo,bar_ar_heavy_p04_akilo,0
bar_ar_heavy_p04,iw9_ar_akilo105,bar_ar_heavy_p04_akilo105,0
bar_ar_hvylong_p04,iw9_ar_akilo,bar_ar_hvylong_p04_akilo,0
bar_ar_hvylong_p04,iw9_ar_akilo105,bar_ar_hvylong_p04_akilo105,0
bar_ar_hvylong_p04,iw9_lm_rkilo,bar_ar_hvylong_p04_rkilo,0
bar_ar_hvyshort_p04,iw9_ar_akilo,bar_ar_hvyshort_p04_akilo,0
bar_ar_hvyshort_p04,iw9_ar_akilo105,bar_ar_hvyshort_p04_akilo105,0
bar_ar_lgtshort_p01,iw9_ar_mike4,bar_ar_lgtshort_p01_mike4,0
bar_ar_lgtshort_p01,iw9_br_msecho,bar_ar_lgtshort_p01_msecho,0
bar_ar_light_p01,iw9_ar_mike4,bar_ar_light_p01_mike4,0
bar_ar_light_p01,iw9_br_msecho,bar_ar_light_p01_msecho,0
bar_ar_light_p03,iw9_ar_augolf,bar_ar_light_p03_augolf,0
bar_ar_light_p03,iw9_sm_apapa,bar_ar_light_p03_apapa,0
bar_ar_long_p01,iw9_ar_mike4,bar_ar_long_p01_mike4,0
bar_ar_long_p01,iw9_br_msecho,bar_ar_long_p01_msecho,0
bar_ar_long_p03,iw9_ar_augolf,bar_ar_long_p03_augolf,0
bar_ar_long_p03,iw9_sm_apapa,bar_ar_long_p03_apapa,0
bar_ar_long_p04,iw9_ar_akilo,bar_ar_long_p04_akilo,0
bar_ar_long_p04,iw9_ar_akilo105,bar_ar_long_p04_akilo105,0
bar_ar_long_p08,iw9_ar_ralpha,bar_ar_long_p08_ralpha,0
bar_ar_longhvy_p01,iw9_ar_mike16,bar_ar_longhvy_p01_mike16,0
bar_ar_longhvy_p01,iw9_ar_mike4,bar_ar_longhvy_p01_mike4,0
bar_ar_p01,iw9_ar_mike16,bar_ar_p01_mike16,0
bar_ar_p01,iw9_br_msecho,bar_ar_p01_msecho,0
bar_ar_p02,iw9_ar_golf3,bar_ar_p02_golf3,0
bar_ar_p02,iw9_ar_kilo53,bar_ar_p02_kilo53,0
bar_ar_p02,iw9_dm_pgolf1,bar_ar_p02_pgolf1,0
bar_ar_p02,iw9_lm_kilo21,bar_ar_p02_kilo21,0
bar_ar_p03,iw9_ar_augolf,bar_ar_p03_augolf,0
bar_ar_p03,iw9_sm_apapa,bar_ar_p03_apapa,0
bar_ar_p04,iw9_ar_akilo,bar_ar_p04_akilo,0
bar_ar_p04,iw9_ar_akilo105,bar_ar_p04_akilo105,0
bar_ar_p08,iw9_ar_ralpha,bar_ar_p08_ralpha,0
bar_ar_short2_p08,iw9_ar_mcharlie,bar_ar_short2_p08_mcharlie,0
bar_ar_short2_p08,iw9_ar_ralpha,bar_ar_short2_p08_ralpha,0
bar_ar_short_p01,iw9_ar_mike16,bar_ar_short_p01_mike16,0
bar_ar_short_p01,iw9_ar_mike4,bar_ar_short_p01_mike4,0
bar_ar_short_p02,iw9_ar_golf3,bar_ar_short_p02_golf3,0
bar_ar_short_p02,iw9_ar_kilo53,bar_ar_short_p02_kilo53,0
bar_ar_short_p08,iw9_ar_ralpha,bar_ar_short_p08_ralpha,0
bar_ar_shorthvy_p01,iw9_ar_mike16,bar_ar_shorthvy_p01_mike16,0
bar_ar_shorthvy_p01,iw9_ar_mike4,bar_ar_shorthvy_p01_mike4,0
bar_br_heavy_p18,iw9_br_soscar14,bar_br_heavy_p18_soscar14,0
bar_br_heavy_p18,iw9_dm_mike14,bar_br_heavy_p18_mike14,0
bar_br_light_p02,iw9_ar_golf3,bar_br_light_p02_golf3,0
