41525,cer_masterybadgecategory_mp_lethal,,,0,0,9,74042,10000,,11,41588|41590|41592|41594|41596|41598|41600|41587|48370,,,,,MP|LP_MP|HC,lethal,0
41588,cer_masterybadge_mp_equip_bunkerbuster_cer,equip_bunkerbuster_cer,30589,0,0,25|50|100,69347||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41590,cer_masterybadge_mp_equip_c4_cer,equip_c4_cer,30579,0,0,25|50|100,69349||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41592,cer_masterybadge_mp_equip_combataxe_cer,equip_combataxe_cer,30593,0,0,25|50|100,69351||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41594,cer_masterybadge_mp_equip_frag_cer,equip_frag_cer,30578,0,0,25|50|100,60918||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41596,cer_masterybadge_mp_equip_ied_cer,equip_ied_cer,30590,0,0,25|50|100,69353||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41598,cer_masterybadge_mp_equip_impact_grenade_cer,equip_impact_grenade_cer,30591,0,0,25|50|100,69355||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41600,cer_masterybadge_mp_equip_molotov_cer,equip_molotov_cer,30580,0,0,25|50|100,69357||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41587,cer_masterybadge_mp_equip_semtex_cer,equip_semtex_cer,30581,0,0,25|50|100,69359||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
48370,cer_masterybadge_mp_equip_thermobaric_grenade_cer,equip_thermobaric_grenade_cer,80407,0,0,25|50|100,69361||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41605,cer_masterybadge_mp_air_patrol_cer,air_patrol_cer,30757,0,0,10|25|50,69363||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
