New York (MP),mp-new-york
Virginia (AWS),aws-us-east-1
South Carolina (GCP),gcp-us-east1
Atlanta (GS),gs-atlanta
Ohio (AWS),aws-us-east-2
Chicago (GS),gs-chicago
Chicago (MP),mp-chicago
Saint Louis (MP),mp-st-louis
Iowa (GCP),gcp-us-central1
Dallas (MP),mp-dallas
Denver (FX),flexential-denver
Salt Lake City (MP),mp-salt-lake-city
Salt Lake City (GCP),gcp-us-west3
Las Vegas (GCP),gcp-us-west4
Los Angeles (GCP),gcp-us-west2
Competition Stage 1,cdl-stage-01
Competition Stage 2,cdl-stage-02
Player Practice Area 1,cdl-ppa-01
Player Practice Area 2,cdl-ppa-02
Player Practice Area 3,cdl-ppa-03
