0,weapon,none,0,,,0,0,0,
57672,ammomod,zm_t10_ammomod_brainrot,0,cer,,0,112440DC67ADC110,0,
57673,ammomod,zm_t10_ammomod_cryofreeze,1,cer,,0,3D175BE44C7B3097,0,
57674,ammomod,zm_t10_ammomod_deadwire,2,cer,,0,2E795A179FD2139A,0,
57675,ammomod,zm_t10_ammomod_napalmburst,3,cer,,0,753442F37A36F196,0,
57677,ammomod,zm_t10_ammomod_shadowvortex,5,cer,,0,CC85AE539EE11B5,0,
57678,ammomod,zm_t10_ammomod_lightray,6,cer,CER_SEASON_1_MID,0,722FDA6FAE675DC1,0,
573,attachment,bolt_lgt_p20,0,iw9,,0,6BA404D613406D2D,0,
574,attachment,reflex02,1,iw9,,0,118E8563F29ECA33,0,
575,attachment,bar_ar_shorthvy_p01,2,iw9,,0,45DAF42C9697068C,0,
578,attachment,ammo_50p_op,3,iw9,LAUNCH,0,285B2C959CF5E4F5,0,
585,attachment,bar_br_short_p18,4,iw9,,0,6CBBD4B71A63A9CE,0,
593,attachment,stock_sh_light_p12,6,iw9,,0,509D75C489D360C4,0,
595,attachment,lasercyl_ads03,7,iw9,,0,294FFF10D869F40A,0,
597,attachment,ammo_762n_hp,8,iw9,LAUNCH,0,31AFDA5D58D12E5C,0,
599,attachment,grip_angled11,9,iw9,LAUNCH,0,156927B3304A5AC7,0,
601,attachment,pgrip_aim_p09,10,iw9,LAUNCH,0,34B91925553E697,0,
602,attachment,ammo_762s_ap,11,iw9,LAUNCH,0,87933E674A3F00,0,
603,attachment,bolt_lgt_p12,12,iw9,,0,6BA768D613434CF0,0,
604,attachment,rec_la700,13,iw9,,0,72E1C998545E2C78,0,
609,attachment,bar_sn_heavy_p20,14,iw9,,0,554481D32F4F4281,0,
620,attachment,ammo_458s_ap,17,iw9,LAUNCH,0,4D7386F77038A3A4,0,
621,attachment,silencer06_ar,18,iw9,,0,40EFF424F31D4B2C,0,
623,attachment,flash_dm_03,19,iw9,,0,46480CFF79C396FD,0,
625,attachment,ammo_556n_hp,20,iw9,LAUNCH,0,2898B143BF4ABBDD,0,
628,attachment,stock_ar_p05,21,iw9,,0,138B85688727D427,0,
630,attachment,ammo_9p_hp,22,iw9,LAUNCH,0,3FBD3C556D0C948,0,
632,attachment,iw9_ironsdefault_beta,23,iw9,,0,27F2B7D3EF594A7E,0,
633,attachment,bar_lm_p03,24,iw9,,0,600CF4E5F261A01C,0,
635,attachment,stock_ar_p04,25,iw9,,0,138B84688727D274,0,
636,attachment,bar_sh_short_p12,26,iw9,,0,5DBEDB67DAC5BFD7,0,
639,attachment,lasercyl_ads02,28,iw9,,0,29500010D869F5BD,0,
640,attachment,bar_dm_hvyass_p38,29,iw9,,0,5256D259741AD7CD,0,
646,attachment,pgrip_aim_p23,30,iw9,LAUNCH,0,3529392555A08AB,0,
