48988,cer_leagueplay_s1_sd_placement,311,0,0,4|7|10|13|16|19,72224|72183+87537|72184+87538|72185+87539|72186+87540|72187+87541,,,,Season End SD,Season End SD,1,,,,0,0
48989,cer_leagueplay_s2_sd_placement,311,0,0,4|7|10|13|16|19,72190|93288+90127|72191+90128|72192+90129|72193+90130|72194+90131,,,,Season End SD,Season End SD,2,,,,0,0
48990,cer_leagueplay_s3_sd_placement,311,0,0,4|7|10|13|16|19,93287|72198+96072|72199+96289|72200+96380|72201+96478|72202+96785,,,,Season End SD,Season End SD,3,,,,0,0
48991,cer_leagueplay_s4_sd_placement,311,0,0,1|4|7|10|13|16|19,,,,,Season End SD,Season End SD,4,,,,0,0
48992,cer_leagueplay_s5_sd_placement,311,0,0,1|4|7|10|13|16|19,,,,,Season End SD,Season End SD,5,,,,0,0
48993,cer_leagueplay_s6_sd_placement,311,0,0,1|4|7|10|13|16|19,,,,,Season End SD,Season End SD,6,,,,0,0
37172,cer_leagueplay_s1_end_season_top250_placement,311,0,0,1|250,72189|72188+87542,,,,Season End Top250,Season End Top250,1,,,,0,0
37171,cer_leagueplay_s2_end_season_top250_placement,311,0,0,1|250,72196|72195+90132,,,,Season End Top250,Season End Top250,2,,,,0,0
37170,cer_leagueplay_s3_end_season_top250_placement,311,0,0,1|250,73610|72203+96669,,,,Season End Top250,Season End Top250,3,,,,0,0
37169,cer_leagueplay_s4_end_season_top250_placement,311,0,0,1|250,,,,,Season End Top250,Season End Top250,4,,,,0,0
37168,cer_leagueplay_s5_end_season_top250_placement,311,0,0,1|250,,,,,Season End Top250,Season End Top250,5,,,,0,0
37167,cer_leagueplay_s6_end_season_top250_placement,311,0,0,1|250,,,,,Season End Top250,Season End Top250,6,,,,0,0
48987,cer_leagueplay_career_sd_placement,311,0,0,7|10|13|16|19,88464+88450|88463+88449|88462+88448|88461+88447|88465+88451,,,,Career Season End SD,Career Season End SD,<NOT SET>,,,,0,0
48340,cer_leagueplay_career_end_season_top250_placement,311,0,0,1|250,88459+88445|88460+88446,,,,Career Season End SD,Career Season End SD,<NOT SET>,,,,0,0
47960,cer_leagueplay_career_challenge_wins,311,0,0,5|10|20|30|40|50|100|250|500|1000,69140|88435+88433|90864|90383|86477|90125|90878|83231|85316|88710+69141,,,,,,<NOT SET>,,,,0,0
