mp_jup_afghan_v2,mpafghanimage
mp_jup_derail,mpjupderailimage
mp_jup_estate,mpjupestateimage
mp_jup_favela,mpjupfavelaimage
mp_jup_greece,mpjupgreeceimage
mp_jup_highrise,mpjuphighriseimage
mp_jup_invasion,mpjupinvasionimage
mp_jup_karachi,mpjupkarachiimage
mp_jup_quarry,mpjupquarryimage
mp_jup_rundown,mpjuprundownimage
mp_jup_rust,mpjuprustimage
mp_jup_scrapyard,mpjupscrapyardimage
mp_jup_skidrow,mpjupskidrowimage
mp_jup_subbase,mpjupsubbaseimage
mp_jup_terminal,mpjupterminalimage
mp_jup_underpass,mpjupunderpassimage
mp_jup_wasteland,mpjupwastelandimage
mp_jup_bigmap,objupbigmapimage
mp_jup_bigmap_wz,mpjupbigmapimage
cp_jup_port,cpjupportimage
cp_jup_chemical,cpjupchemicalimage
cp_jup_ranch,cpjupcrashimage
cp_jup_resort,cpjupresortimage
cp_jup_apt,cpjupaptimage
cp_jup_dam,cpjupdamimage
sp_jup_vip,spjupvipimage
sp_jup_silo,spjupsiloimage
sp_jup_milbase,spjupmilbaseimage
sp_jup_hijack,spjuphijackimage
sp_jup_flashback,spjupflashbackimage
sp_jup_tundra,spjuptundraimage
sp_jup_gunship,spjupgunshipimage
sp_jup_surge,spjupsurgeimage
